Name;Lane;SecLane;
Aatrox;top;jng?5;
Ahri;mid;none;
Akali;mid;top?25;
Alistar;sup;none;
Amumu;jng;none;
Anivia;mid;sup?10;
Annie;mid;none;
Ashe;adc;sup?20;
Azir;mid;none;
Blitzcrank;sup;none;
Brand;sup;mid?20;
Braum;sup;none;
Caitlyn;adc;none;
Cassiopeia;mid;none;
Cho'Gath;top;none;
Corki;mid;none;
Darius;top;none;
Diana;mid;jng?5;
Dr. Mundo;top;jng?50;
Draven;adc;none;
Elise;jng;none;
Evelynn;jng;none;
Ezreal;adc;none;
Fiddlesticks;jng;none;
Fiora;top;none;
Fizz;mid;none;
Galio;mid;sup?30;
Gangplank;top;none;
Garen;top;none;
Gnar;top;none;
Gragas;jng;top?35;
Graves;jng;none;
Hecarim;jng;none;
Heimerdinger;mid;top?50;
Irelia;top;mid?40;
Janna;sup;none;
Jarvan IV;jng;none;
Jax;top;jng?40;
Jayce;top;none;
Jinx;adc;none;
Kalista;adc;none;
Karma;sup;none;
Karthus;jng;mid?10;
Kassadin;mid;none;
Katarina;kata;none;
Kayle;top;none;
Kennen;top;none;
Kha'Zix;jng;none;
Kog'Maw;adc;none;
LeBlanc;mid;none;
Lee Sin;jng;none;
Leona;sup;none;
Lissandra;mid;none;
Lucian;adc;mid?25;
Lulu;sup;none;
Lux;sup;mid?30;
Malphite;top;sup?20;
Malzahar;mid;none;
Maokai;sup;top?10;
Master Yi;jng;none;
Miss Fortune;adc;none;
Mordekaiser;top;none;
Morgana;sup;none;
Nami;sup;none;
Nasus;top;none;
Nautilus;sup;none;
Nidalee;jng;none;
Nocturne;jng;none;
Nunu;jng;none;
Olaf;jng;none;
Orianna;mid;none;
Pantheon;sup;mid?35;
Poppy;top;none;
Quinn;top;none;
Rammus;jng;none;
Rek'Sai;jng;none;
Renekton;top;none;
Rengar;jng;none;
Riven;top;none;
Rumble;top;none;
Ryze;mid;top?25;
Sejuani;jng;none;
Shaco;jng;sup?35;
Shen;top;sup?10;
Shyvana;jng;none;
Singed;top;none;
Sion;top;none;
Sivir;adc;none;
Skarner;jng;none;
Sona;sup;none;
Soraka;sup;none;
Swain;sup;none;
Syndra;mid;none;
Talon;mid;none;
Taric;sup;none;
Teemo;top;none;
Thresh;sup;none;
Tristana;adc;none;
Trundle;jng;none;
Tryndamere;top;none;
Twisted Fate;mid;none;
Twitch;adc;jng?10;
Udyr;jng;none;
Urgot;top;none;
Varus;adc;none;
Vayne;adc;top?15;
Veigar;mid;none;
Vel'Koz;mid;sup?40;
Vi;jng;none;
Viktor;mid;none;
Vladimir;mid;top?20;
Volibear;top;jng?40;
Warwick;jng;none;
Wukong;top;none;
Xerath;mid;sup?40;
Xin Zhao;jng;none;
Yasuo;mid;none;
Yorick;top;none;
Zac;jng;none;
Zed;mid;none;
Ziggs;mid;none;
Zilean;sup;none;
Zyra;sup;none;
